5.0, 5.0, 6.0, 3.0, 4.0, 4.0, 27.0
5.0, 5.0, 6.0, 3.0, 4.0, 5.0, 28.0
5.0, 5.0, 6.0, 3.0, 4.5, 4.0, 27.5
5.0, 5.0, 6.0, 3.0, 4.5, 5.0, 28.5
5.0, 5.0, 6.0, 3.0, 5.0, 4.0, 28.0
5.0, 5.0, 6.0, 3.0, 5.0, 5.0, 29.0
5.0, 5.0, 6.0, 3.0, 5.5, 4.0, 28.5
5.0, 5.0, 6.0, 3.0, 5.5, 5.0, 29.5
5.0, 5.0, 6.0, 4.0, 4.0, 4.0, 28.0
5.0, 5.0, 6.0, 4.0, 4.0, 5.0, 29.0
5.0, 5.0, 6.0, 4.0, 4.5, 4.0, 28.5
5.0, 5.0, 6.0, 4.0, 4.5, 5.0, 29.5
5.0, 5.0, 6.0, 4.0, 5.0, 4.0, 29.0
5.0, 5.0, 6.0, 4.0, 5.0, 5.0, 30.0
5.0, 5.0, 6.0, 4.0, 5.5, 4.0, 29.5
5.0, 5.0, 6.0, 4.0, 5.5, 5.0, 30.5
5.0, 5.0, 6.0, 5.0, 4.0, 4.0, 29.0
5.0, 5.0, 6.0, 5.0, 4.0, 5.0, 30.0
5.0, 5.0, 6.0, 5.0, 4.5, 4.0, 29.5
5.0, 5.0, 6.0, 5.0, 4.5, 5.0, 30.5
5.0, 5.0, 6.0, 5.0, 5.0, 4.0, 30.0
5.0, 5.0, 6.0, 5.0, 5.0, 5.0, 31.0
5.0, 5.0, 6.0, 5.0, 5.5, 4.0, 30.5
5.0, 5.0, 6.0, 5.0, 5.5, 5.0, 31.5
5.0, 5.0, 6.0, 6.0, 4.0, 4.0, 30.0
5.0, 5.0, 6.0, 6.0, 4.0, 5.0, 31.0
5.0, 5.0, 6.0, 6.0, 4.5, 4.0, 30.5
5.0, 5.0, 6.0, 6.0, 4.5, 5.0, 31.5
5.0, 5.0, 6.0, 6.0, 5.0, 4.0, 31.0
5.0, 5.0, 6.0, 6.0, 5.0, 5.0, 32.0
5.0, 5.0, 6.0, 6.0, 5.5, 4.0, 31.5
5.0, 5.0, 6.0, 6.0, 5.5, 5.0, 32.5
5.0, 5.0, 7.0, 3.0, 4.0, 4.0, 28.0
5.0, 5.0, 7.0, 3.0, 4.0, 5.0, 29.0
5.0, 5.0, 7.0, 3.0, 4.5, 4.0, 28.5
5.0, 5.0, 7.0, 3.0, 4.5, 5.0, 29.5
5.0, 5.0, 7.0, 3.0, 5.0, 4.0, 29.0
5.0, 5.0, 7.0, 3.0, 5.0, 5.0, 30.0
5.0, 5.0, 7.0, 3.0, 5.5, 4.0, 29.5
5.0, 5.0, 7.0, 3.0, 5.5, 5.0, 30.5
5.0, 5.0, 7.0, 4.0, 4.0, 4.0, 29.0
5.0, 5.0, 7.0, 4.0, 4.0, 5.0, 30.0
5.0, 5.0, 7.0, 4.0, 4.5, 4.0, 29.5
5.0, 5.0, 7.0, 4.0, 4.5, 5.0, 30.5
5.0, 5.0, 7.0, 4.0, 5.0, 4.0, 30.0
